ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior,
28,0,40,13,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
28,0,40,13,4,113.79,113.79,455.16,ACEITE SEMISINTETICO MOBIL 5W-30 API SN,113.79,113.79,
28,0,40,13,4,38.79,38.79,155.16,BUJÍA DE ENCENDIDO NGK DCPR7E,38.79,38.79,
28,0,40,13,1,228.45,228.45,228.45,FILTRO DE AIRE INTERFIL F-78A07,228.45,228.45,
29,0,41,36,1,344.83,344.83,344.83,BOMBA DE AGUA PARA NISSAN B-2347-N,344.83,344.83,
29,0,41,36,1,103.45,103.45,103.45,BANDA GATES A47,103.45,103.45,
29,0,41,36,1,60.35,60.35,60.35,BANDA LAMINADA GATES 6366L,60.35,60.35,
29,0,41,36,1,77.59,77.59,77.59,BANDA GATES A34,77.59,77.59,
30,0,42,37,1,60.34,60.34,60.34,FILTRO DE ACEITE ML1006,60.34,60.34,
30,0,42,37,5.5,64.66,64.66,355.63,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
30,0,42,37,1,56.03,56.03,56.03,LITRO DE ACEITE DE TRANSMISIÓN RALOY,56.03,56.03,
31,0,43,38,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
31,0,43,38,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
31,0,43,38,2,88.79,88.79,177.58,ACEITE MOBIL SUPER TRC 20W-50 API SN 946ML,88.79,88.79,
31,0,43,38,1,60.34,60.34,60.34,FILTRO DE ACEITE ML 1005,60.34,60.34,
31,0,43,38,6,30.17,30.17,181.02,BUJÍA CHAMPION,36.21,36.21,
31,0,43,38,1,168.1,168.1,168.1,FILTRO DE AIRE PUROLATOR TA34878 EQ/F-80A04,168.1,168.1,
31,0,43,38,1,77.59,77.59,77.59,FILTRO DE COMBUSTIBLE FGI-133,77.59,77.59,
31,0,43,38,1,426.72,426.72,426.72,ACEITE MOBIL SUPER TRC 20W-50 API SN,426.72,426.72,
32,0,44,39,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
32,0,44,39,5.5,64.66,64.66,355.63,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
33,0,45,40,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
33,0,45,40,1,168.1,168.1,168.1,FILTRO DE AIRE PUROLATOR TA34878 EQ/F-80A04,168.1,168.1,
33,0,45,40,1,77.59,77.59,77.59,FILTRO DE COMBUSTIBLE FGI-133,77.59,77.59,
33,0,45,40,6,116.38,116.38,698.28,ACEITE RALOY PLATINUM MERCON V,116.38,116.38,
33,0,45,40,1,163.79,163.79,163.79,EMPAQUE DE FILTRO Y TRANSMISIÓN,163.79,163.79,
34,0,46,41,1,94.83,94.83,94.83,BALERO PARA POLEA,370.69,370.69,
34,0,46,41,1,133.62,133.62,133.62,GALÓN DE ANTICONGELANTE PRESTONE 33%,133.62,133.62,
34,0,46,41,1,520.56,520.56,520.56,BOMBA DE AGUA,520.56,520.56,
34,0,46,41,1,356.22,356.22,356.22,BANDA DE ACCESORIO PARA HONDA CIVIC,356.22,356.22,
34,0,46,41,2,41.38,41.38,82.76,LITRO DE ANTICONGELANTE PRESTONE,41.38,41.38,
35,0,47,42,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
35,0,47,42,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
35,0,47,42,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
35,0,47,42,4,64.66,64.66,258.64,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
35,0,47,42,1,64.66,64.66,64.66,FILTRO DE AIRE INTERFIL F-54A96 EQ. A25688,0,0,
